PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
138,7,Just another day...,2025-03-21 05:56:41,29,26,"#social,#cleanUI",-0.29
139,2,This app keeps crashing. So annoying.,2025-03-25 16:56:41,57,46,"#UX,#social",-0.02
140,5,Such a smooth interface!,2025-03-24 16:56:41,104,2,"#fail,#design,#tech",0.23
141,5,Great performance on mobile.,2025-03-23 10:56:41,53,26,#AI,-0.3
142,3,Worst experience ever.,2025-03-22 08:56:41,98,0,#love,0.57
143,8,Great performance on mobile.,2025-03-17 21:56:41,30,11,"#fail,#design",0.68
144,7,Worst experience ever.,2025-03-23 20:56:41,1,23,"#love,#design",0.05
145,10,Loving the new update!,2025-03-21 11:56:41,78,35,"#UX,#AI,#cleanUI",-0.63
146,1,Such a smooth interface!,2025-03-18 01:56:41,41,10,#cleanUI,0.92
147,5,Absolutely love the UX!,2025-03-19 00:56:41,76,21,#cleanUI,-0.28
148,8,Such a smooth interface!,2025-03-19 04:56:41,132,25,#design,-0.83
149,5,Just another day...,2025-03-20 22:56:41,149,37,"#fail,#UX",-0.3
150,8,This app keeps crashing. So annoying.,2025-03-18 16:56:41,136,44,"#AI,#social",-0.2
151,8,Great performance on mobile.,2025-03-20 07:56:41,89,44,#love,0.71
152,5,Absolutely love the UX!,2025-03-25 03:56:41,34,14,"#design,#love",0.82
153,1,Needs dark mode ASAP!,2025-03-20 02:56:41,112,22,#bug,0.04
154,8,Great performance on mobile.,2025-03-24 20:56:41,108,5,"#love,#design,#bug",-0.23
155,10,Great performance on mobile.,2025-03-25 08:56:41,10,12,#love,0.95
156,7,Absolutely love the UX!,2025-03-18 23:56:41,13,13,"#fail,#UX,#design",0.32
157,2,Absolutely love the UX!,2025-03-25 13:56:41,129,2,"#love,#design",0.83
158,5,Great performance on mobile.,2025-03-16 20:56:41,125,40,"#design,#social",-0.2
159,5,Just another day...,2025-03-23 14:56:41,1,33,"#design,#tech",0.9
160,9,Needs dark mode ASAP!,2025-03-20 20:56:41,96,21,"#UX,#design,#AI",0.77
161,6,This app keeps crashing. So annoying.,2025-03-19 07:56:41,13,43,"#fail,#design",0.94
162,10,Worst experience ever.,2025-03-25 15:56:41,75,49,"#love,#cleanUI,#bug",-0.7
163,7,Absolutely love the UX!,2025-03-23 10:56:41,99,18,#mood,-0.34
164,8,Great performance on mobile.,2025-03-20 01:56:41,37,26,"#cleanUI,#design,#love",-0.3
165,1,Just another day...,2025-03-24 13:56:41,78,1,"#cleanUI,#mood",0.29
166,5,Can’t stop using it!,2025-03-17 23:56:41,25,1,#AI,0.47
167,4,I’m impressed with the speed.,2025-03-25 01:56:41,137,3,#social,0.05
168,9,Such a smooth interface!,2025-03-23 13:56:41,128,38,#UX,-0.6
169,4,Great performance on mobile.,2025-03-16 00:56:41,75,35,"#social,#bug,#love",0.71
170,8,Absolutely love the UX!,2025-03-19 02:56:41,14,36,"#fail,#AI",-0.05
171,1,Worst experience ever.,2025-03-19 18:56:41,87,2,"#social,#bug,#mood",-0.8
172,5,Can’t stop using it!,2025-03-16 21:56:41,93,13,"#bug,#cleanUI,#mood",-0.39
173,9,Great performance on mobile.,2025-03-24 14:56:41,18,34,#mood,0.4
174,3,Can’t stop using it!,2025-03-24 17:56:41,106,9,"#social,#fail,#cleanUI",0.04
175,10,Just another day...,2025-03-25 12:56:41,91,21,"#social,#AI",0.59
176,6,Worst experience ever.,2025-03-19 20:56:41,134,2,"#cleanUI,#tech",0.88
177,5,Needs dark mode ASAP!,2025-03-24 18:56:41,142,18,"#AI,#tech,#UX",0.46
178,5,Great performance on mobile.,2025-03-19 03:56:41,20,21,#UX,-0.75
179,8,Such a smooth interface!,2025-03-23 06:56:41,141,5,#fail,0.17
180,8,This app keeps crashing. So annoying.,2025-03-25 13:56:41,118,2,"#UX,#social,#bug",-0.34
181,2,Just another day...,2025-03-22 08:56:41,48,20,"#bug,#tech,#AI",0.99
182,4,Needs dark mode ASAP!,2025-03-18 16:56:41,41,31,"#AI,#fail,#cleanUI",0.95
183,4,Absolutely love the UX!,2025-03-20 10:56:41,114,17,"#cleanUI,#AI,#tech",-0.48
184,7,Can’t stop using it!,2025-03-22 06:56:41,59,32,"#cleanUI,#design",0.26
185,4,Absolutely love the UX!,2025-03-15 18:56:41,101,4,"#cleanUI,#social,#design",-0.2
186,1,Needs dark mode ASAP!,2025-03-20 05:56:41,75,28,"#social,#design,#AI",-0.77
187,1,Can’t stop using it!,2025-03-22 04:56:41,68,3,#fail,0.7
188,6,Just another day...,2025-03-17 19:56:41,26,19,"#love,#bug",0.52
189,1,This app keeps crashing. So annoying.,2025-03-19 02:56:41,6,46,#tech,-0.11
190,1,Worst experience ever.,2025-03-25 04:56:41,21,6,"#design,#love,#bug",-0.74
191,7,Just another day...,2025-03-23 13:56:41,5,22,"#tech,#UX,#social",0.27
192,3,Can’t stop using it!,2025-03-17 05:56:41,148,19,"#UX,#cleanUI",-0.8
193,2,Such a smooth interface!,2025-03-19 16:56:41,3,44,"#mood,#love",0.64
194,10,Can’t stop using it!,2025-03-23 06:56:41,43,33,"#cleanUI,#love,#AI",-0.57
195,1,Great performance on mobile.,2025-03-16 14:56:41,46,7,"#social,#bug,#tech",-0.23
196,9,Just another day...,2025-03-16 03:56:41,29,4,"#mood,#tech",0.28
197,8,Just another day...,2025-03-16 01:56:41,77,35,#bug,-0.67
198,1,Absolutely love the UX!,2025-03-23 03:56:41,144,19,#love,-0.29
199,3,Worst experience ever.,2025-03-19 11:56:41,74,15,"#bug,#mood",0.13
200,1,This app keeps crashing. So annoying.,2025-03-19 01:56:41,43,37,"#AI,#fail",0.72
